Billing_Block,Billing_City,Billing_Code,Billing_Country,Billing_State,Billing_Street,Created_By,Account_Name,Customer_No,Customer_Reference,Distribution_Channel,Division,Master_Contract,Mat_Freight_Group,Means_Transport,Net_Value,Ordered_Items,Plant,Pricing_Date,Route,Sales_Group,Sales_Office,Sales_Organization,Ship_to_Party,Shipping_City,Shipping_Country,Shipping_Plant,Shipping_State,Shipping_Street,Shipping_Type,Shp_Cond,SO_Number,Status,Storage_Location,Valid_From,Valid_Till,Valuation_Type,Ordered_Items,API_Name,Description,Product_Name,Quantity,UoMEdit
,P.O. PATA$$ DIST. AURAIYA,206241,IN,PATA$$ AURAIYA$$ UP,P.O. PATA$$ DIST. AURAIYA,100360,GAIL (INDIA) LIMITED,0000200080,4000003997/P351/Washoil,12,35,,MSHS,1,775$$407$$375.00,SKO02,3100,12.11.2021,DEL,,6112,1000,0000200080,Golaghat,IN,3100,04,Golaghat,DL,DL,0040083915,,,10.11.2021,09.11.2023,OWN-BOND,000010,,Gail New Contract 10000MT,SKO02,0.000,KL
,JOYDEVPUR$$ GAZIPUR,1704,BD,,WEST BHOROLLA$$ MONIR CHEMICALS ROAD,100443,MBT TRADE INTERNATIONAL,0000500044,WAX/EXP/70/2021-22,30,50,,,1,307$$400.00,PWAX01,3100,10.01.2022,,,,1000,0000500044,Golaghat,IN,3100,04,Golaghat,CL,CL,0040084454,,,10.01.2022,20.01.2024,OWN-BOND,000010,,Solid Paraffin Wax Fully refined,PWAX01,0.000,KG
,JOYDEVPUR$$ GAZIPUR,1704,BD,,WEST BHOROLLA$$ MONIR CHEMICALS ROAD,100443,MBT TRADE INTERNATIONAL,0000500044,WAX/EXP/70/2021-22,30,50,,,1,307$$400.00,PWAX01,3100,10.01.2022,,,,1000,0000500044,Golaghat,IN,3100,04,Golaghat,CL,CL,0040084454,,,10.01.2022,20.01.2024,OWN-BOND,000010,,Solid Paraffin Wax Fully refined,PWAX01,0.000,KG
